resume_text,job_description,label
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for enterprise solutions.","Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for enterprise solutions.",1
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for enterprise solutions.","Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for startup environments.",0
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for startup environments.","Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for startup environments.",1
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for startup environments.",Cloud Architect Seeking a Cloud Architect to design scalable AWS and Azure cloud infrastructure and security. for global teams.,0
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for global teams.","Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for global teams.",1
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for global teams.","Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for global teams.",0
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for enterprise solutions.","Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for enterprise solutions.",1
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for enterprise solutions.",Flutter Developer Seeking a Flutter Developer for cross-platform app development and API integration. for startup environments.,0
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for startup environments.","Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for startup environments.",1
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for startup environments.","Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for startup environments.",0
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for global teams.","Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for global teams.",1
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for global teams.","Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for global teams.",0
"Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for enterprise solutions.","Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for enterprise solutions.",1
"Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for enterprise solutions.",iOS Developer Seeking an iOS Developer with Swift and UIKit experience for mobile applications. for global teams.,0
